state_id,name
"35",Hooghly
"35",Howrah
"35",Jalpaiguri
"35",Cooch Behar
"35",Kolkata
"35",Malda
"35",Midnapore
"35",Murshidabad
"35",Nadia
"35",North 24 Parganas
"35",South 24 Parganas
"35",Purulia
"35",Uttar Dinajpur
